anio,alcaldia_norm,total_carpetas,robos_territoriales,fraude,delitos_unicos,categorias_unicas,pct_latitud_nula,pct_longitud_nula,ROBO_A_CASA_HABITACION,ROBO_A_NEGOCIO,ROBO_A_PASAJERO,ROBO_A_REPARTIDOR,ROBO_A_TRANSEUNTE,ROBO_DE_ACCESORIOS_AUTO,ROBO_DE_VEHICULO,ROBO_A_TRANSPORTISTA,mmip_wmean,rei_wmean,nbi_wmean,CBDj_wmean,CSj_wmean,CENJ_wmean,ett_wmean,CASi_wmean,CASSi_wmean,cyt_wmean,ccevj_wmean,share_robos_territoriales,share_fraude,nivel_objetivo,pred_nivel
2023.0,GUSTAVO A MADERO,23433,5482.0,1845.0,431,0,5.2503,5.2503,368.0,1627.0,251.0,101.0,1025.0,925.0,1181.0,4.0,0.09036234841188213,-0.062388921540187825,0.020531425320406343,-0.38657641541323845,0.08172417555705079,0.0013227542483343025,0.9864080887005495,0.15502973318121996,0.3847282931798192,0.13208242002053186,-0.038702756616351926,0.23394358383476294,0.07873511714249136,alto,alto
2023.0,IZTACALCO,10482,2071.0,786.0,326,0,3.1147,3.1147,129.0,240.0,171.0,69.0,479.0,449.0,534.0,0.0,0.11042522661280128,-0.0663316824828702,0.049691707455732044,-0.37493149154201927,0.09567115998414144,0.0023314498714601443,0.976737598864789,0.1971242359892277,0.4395374300119208,0.14671010880674148,0.010585847105796778,0.1975767983209311,0.07498568975386377,medio,medio
2023.0,IZTAPALAPA,32910,6945.0,2201.0,451,0,4.051,4.051,533.0,1436.0,425.0,238.0,1914.0,817.0,1582.0,0.0,0.1920898216176212,-0.00320926426400864,0.11791867156517592,-0.30407153418492633,0.2319315413502343,0.0009494702353333627,0.9875905224448424,0.24536366112826088,0.49370395058886946,0.23640293700972803,0.09479356086613194,0.21103008204193255,0.06687936797326041,alto,alto
2023.0,LA MAGDALENA CONTRERAS,4870,809.0,343.0,284,0,1.2191,1.2191,96.0,132.0,26.0,23.0,203.0,110.0,219.0,0.0,0.10308081236756317,-0.030908088668650417,0.057937841164773685,-0.4067555527445253,0.1946835929930216,2.3218444606856303e-05,0.9450257758682921,0.11195172331033369,0.38223089087121265,0.13005121396410338,0.06329708907960724,0.16611909650924025,0.0704312114989733,medio,bajo
2023.0,MIGUEL HIDALGO,13787,3999.0,1784.0,376,0,1.0225,1.0225,157.0,981.0,196.0,33.0,744.0,779.0,1109.0,0.0,-0.10655789292877371,-0.14133924867702416,-0.10044186838251258,-0.4790075054527236,0.040686529336441964,0.0,0.9737089878352627,0.03184414352515892,0.28684835020706506,-0.11021187481556405,-0.22727944558677915,0.29005584971349824,0.1293972582867919,alto,alto
2023.0,MILPA ALTA,2414,230.0,135.0,239,0,2.4697,2.4697,83.0,22.0,6.0,2.0,40.0,13.0,64.0,0.0,0.30394033972790596,0.041275243756181114,0.21532667025883992,-0.16699674570355494,0.46446520532762126,0.0026112156956189874,1.0814029997848131,0.33500279143508527,0.6500347563715513,0.35688205207639373,0.19461961687900187,0.09527754763877382,0.05592377796188898,bajo,bajo
2023.0,TLAHUAC,7761,1190.0,462.0,320,0,2.5404,2.5404,161.0,204.0,90.0,21.0,280.0,97.0,337.0,0.0,0.17410553778804394,-0.02397220639468232,0.08792049492808791,-0.3595059754016799,0.26908967645617327,0.001534896132444792,0.9641575118243516,0.24477759636766735,0.45856991541230135,0.2255962825257832,0.0371172600975396,0.1533307563458317,0.059528411287205256,medio,medio
2023.0,TLALPAN,14677,3573.0,1387.0,372,0,1.2934,1.2934,317.0,937.0,225.0,21.0,464.0,452.0,1157.0,0.0,0.09043928797397856,-0.033527624463036726,0.07284353770853241,-0.38605795060508613,0.3584896012376117,0.001176941776694202,0.9413920701655663,0.14826543103641363,0.4144007232531807,0.1009517642390082,0.057170053473321845,0.24344212032431695,0.09450160114464809,medio,medio
2023.0,VENUSTIANO CARRANZA,13178,3285.0,924.0,362,0,2.9924999999999997,2.9924999999999997,196.0,517.0,179.0,54.0,1005.0,738.0,594.0,2.0,0.11498630564207592,-0.04263823186929674,0.045451620582769546,-0.3019672296972801,0.08042436832510282,0.000745919757052908,1.0194145486304602,0.15625040189816564,0.3662790773672367,0.15652939205291697,0.017436279788949408,0.2492791015328578,0.07011686143572621,medio,bajo
2023.0,XOCHIMILCO,7964,1279.0,570.0,331,0,4.0902,4.0902,203.0,182.0,99.0,15.0,260.0,102.0,418.0,0.0,0.15868416964827722,-0.03019746257791654,0.10572573317112272,-0.29338877621394427,0.32962431995046765,0.0007852700824565955,0.9821493579926619,0.20510047698272396,0.47439674110194935,0.19032387418128402,0.08915201595149735,0.16059768960321447,0.07157207433450527,medio,medio
2024.0,ALVARO OBREGON,13688,3108.0,1152.0,331,0,2.2414,2.2414,160.0,759.0,106.0,60.0,964.0,363.0,696.0,0.0,0.02752728648345389,-0.07493167201753652,-0.012946125960605867,-0.439424834440664,0.0750514740624536,0.0005168867561957826,0.9303849964753335,0.10711232437063838,0.35256340517340706,0.05170788789042938,-0.08456280659888323,0.22706019871420222,0.08416130917592052,medio,alto
2024.0,AZCAPOTZALCO,9032,2480.0,645.0,309,0,0.32789999999999997,0.32789999999999997,121.0,821.0,42.0,36.0,482.0,445.0,531.0,2.0,-0.009223592056627946,-0.09418384225347358,-0.036331763581026064,-0.45757026000523715,0.07697493411704208,0.0016778178550662765,0.9530649346165708,0.10519888137815597,0.30063648876325844,0.006972024155936853,-0.11578393665862534,0.2745792736935341,0.07141275465013286,medio,alto
2024.0,BENITO JUAREZ,15777,5236.0,2293.0,326,0,0.7565,0.7565,172.0,1232.0,257.0,27.0,631.0,1606.0,1311.0,0.0,-0.23803328180389363,-0.22788054756171897,-0.18031724403937935,-0.6437846985817983,0.024609227594864298,0.0,0.9500040425239208,-0.0876039670263633,0.24170131326628128,-0.27251538748857257,-0.3012186692303071,0.3318755149901756,0.14533815047220638,alto,alto
2024.0,COYOACAN,14986,4278.0,1192.0,342,0,1.0961,1.0961,279.0,1098.0,206.0,35.0,709.0,940.0,1011.0,0.0,-0.003261919705925925,-0.11510040013056205,-0.016531650121361704,-0.4291193055675469,0.11451563573098132,0.0,0.8445276526618507,0.11040605998690567,0.37057974519708387,0.004666001913822907,-0.0797719031974254,0.2854664353396503,0.07954090484452156,alto,alto
2024.0,CUAJIMALPA DE MORELOS,3698,763.0,303.0,259,0,1.982,1.982,73.0,296.0,15.0,2.0,91.0,151.0,135.0,0.0,0.09693115055382397,-0.026215449209299763,0.06327935984849019,-0.3627996058260626,0.21703393826362485,0.0030972763248065197,1.0252480829198074,0.14495815224436734,0.30582137057523145,0.11703621446433123,0.0816091186601298,0.2063277447268794,0.08193618171984857,bajo,bajo
2024.0,CUAUHTEMOC,29832,9069.0,3167.0,398,0,2.6566,2.6566,333.0,1733.0,913.0,46.0,1934.0,2574.0,1536.0,0.0,-0.005569574171274645,-0.12102466607485256,-0.04082333715654069,-0.32807871614594863,0.03657496399275063,0.00010243517662572062,1.0141777897238191,0.12235525444644957,0.36276634791894563,0.015492578162799637,-0.16122029424129877,0.30400241351568785,0.10616116921426656,alto,alto
2024.0,GUSTAVO A MADERO,20794,4641.0,1242.0,372,0,2.694,2.694,321.0,1226.0,224.0,76.0,820.0,946.0,1027.0,1.0,0.09036234841188213,-0.062388921540187825,0.020531425320406343,-0.38657641541323845,0.08172417555705079,0.0013227542483343025,0.9864080887005495,0.15502973318121996,0.3847282931798192,0.13208242002053186,-0.038702756616351926,0.22318938155237086,0.05972876791382129,alto,alto
2024.0,IZTACALCO,9892,2024.0,557.0,315,0,0.6033,0.6033,96.0,255.0,158.0,59.0,463.0,391.0,600.0,2.0,0.11042522661280128,-0.0663316824828702,0.049691707455732044,-0.37493149154201927,0.09567115998414144,0.0023314498714601443,0.976737598864789,0.1971242359892277,0.4395374300119208,0.14671010880674148,0.010585847105796778,0.20460978568540233,0.05630812778002426,medio,medio
2024.0,IZTAPALAPA,28796,5802.0,1529.0,393,0,2.8673,2.8673,429.0,1085.0,382.0,185.0,1833.0,536.0,1352.0,0.0,0.1920898216176212,-0.00320926426400864,0.11791867156517592,-0.30407153418492633,0.2319315413502343,0.0009494702353333627,0.9875905224448424,0.24536366112826088,0.49370395058886946,0.23640293700972803,0.09479356086613194,0.20148631754410334,0.053097652451729406,alto,alto
2024.0,LA MAGDALENA CONTRERAS,4458,733.0,289.0,241,0,0.9922,0.9922,116.0,101.0,38.0,19.0,156.0,85.0,218.0,0.0,0.10308081236756317,-0.030908088668650417,0.057937841164773685,-0.4067555527445253,0.1946835929930216,2.3218444606856303e-05,0.9450257758682921,0.11195172331033369,0.38223089087121265,0.13005121396410338,0.06329708907960724,0.16442350829968597,0.06482727680574249,bajo,bajo
2024.0,MIGUEL HIDALGO,12428,3520.0,1458.0,333,0,0.5777,0.5777,152.0,842.0,180.0,30.0,658.0,597.0,1061.0,0.0,-0.10655789292877371,-0.14133924867702416,-0.10044186838251258,-0.4790075054527236,0.040686529336441964,0.0,0.9737089878352627,0.03184414352515892,0.28684835020706506,-0.11021187481556405,-0.22727944558677915,0.2832314129385259,0.1173157386546508,medio,alto
2024.0,MILPA ALTA,2355,201.0,129.0,207,0,3.2604,3.2604,54.0,12.0,1.0,2.0,62.0,15.0,55.0,0.0,0.30394033972790596,0.041275243756181114,0.21532667025883992,-0.16699674570355494,0.46446520532762126,0.0026112156956189874,1.0814029997848131,0.33500279143508527,0.6500347563715513,0.35688205207639373,0.19461961687900187,0.08535031847133757,0.05477707006369427,bajo,bajo
2024.0,TLAHUAC,6778,1040.0,364.0,296,0,2.6448,2.6448,139.0,167.0,69.0,20.0,335.0,73.0,237.0,0.0,0.17410553778804394,-0.02397220639468232,0.08792049492808791,-0.3595059754016799,0.26908967645617327,0.001534896132444792,0.9641575118243516,0.24477759636766735,0.45856991541230135,0.2255962825257832,0.0371172600975396,0.15343759221009148,0.05370315727353202,medio,medio
2024.0,TLALPAN,14103,3345.0,1057.0,346,0,1.8689,1.8689,344.0,799.0,144.0,35.0,506.0,396.0,1121.0,0.0,0.09043928797397856,-0.033527624463036726,0.07284353770853241,-0.38605795060508613,0.3584896012376117,0.001176941776694202,0.9413920701655663,0.14826543103641363,0.4144007232531807,0.1009517642390082,0.057170053473321845,0.2371835779621357,0.07494859249805005,medio,medio
2024.0,VENUSTIANO CARRANZA,12111,2700.0,716.0,334,0,0.8549,0.8549,145.0,427.0,168.0,28.0,800.0,665.0,466.0,1.0,0.11498630564207592,-0.04263823186929674,0.045451620582769546,-0.3019672296972801,0.08042436832510282,0.000745919757052908,1.0194145486304602,0.15625040189816564,0.3662790773672367,0.15652939205291697,0.017436279788949408,0.22293782511766164,0.05911980843860953,medio,bajo
2024.0,XOCHIMILCO,7065,1184.0,414.0,315,0,1.1722000000000001,1.1722000000000001,215.0,168.0,55.0,24.0,214.0,119.0,389.0,0.0,0.15868416964827722,-0.03019746257791654,0.10572573317112272,-0.29338877621394427,0.32962431995046765,0.0007852700824565955,0.9821493579926619,0.20510047698272396,0.47439674110194935,0.19032387418128402,0.08915201595149735,0.16758669497523002,0.05859872611464968,medio,medio
2025.0,ALVARO OBREGON,785,235.0,50.0,97,0,0.5096,0.5096,7.0,62.0,11.0,6.0,58.0,45.0,46.0,0.0,0.02752728648345389,-0.07493167201753652,-0.012946125960605867,-0.439424834440664,0.0750514740624536,0.0005168867561957826,0.9303849964753335,0.10711232437063838,0.35256340517340706,0.05170788789042938,-0.08456280659888323,0.29936305732484075,0.06369426751592357,bajo,alto
2025.0,AZCAPOTZALCO,545,189.0,22.0,86,0,0.1835,0.1835,4.0,62.0,5.0,2.0,37.0,40.0,39.0,0.0,-0.009223592056627946,-0.09418384225347358,-0.036331763581026064,-0.45757026000523715,0.07697493411704208,0.0016778178550662765,0.9530649346165708,0.10519888137815597,0.30063648876325844,0.006972024155936853,-0.11578393665862534,0.3467889908256881,0.04036697247706422,bajo,medio
2025.0,BENITO JUAREZ,831,327.0,69.0,90,0,0.2407,0.2407,14.0,69.0,19.0,0.0,34.0,109.0,82.0,0.0,-0.23803328180389363,-0.22788054756171897,-0.18031724403937935,-0.6437846985817983,0.024609227594864298,0.0,0.9500040425239208,-0.0876039670263633,0.24170131326628128,-0.27251538748857257,-0.3012186692303071,0.3935018050541516,0.08303249097472924,bajo,alto
2025.0,COYOACAN,854,323.0,52.0,98,0,0.7026,0.7026,10.0,80.0,22.0,2.0,45.0,101.0,63.0,0.0,-0.003261919705925925,-0.11510040013056205,-0.016531650121361704,-0.4291193055675469,0.11451563573098132,0.0,0.8445276526618507,0.11040605998690567,0.37057974519708387,0.004666001913822907,-0.0797719031974254,0.37822014051522246,0.06088992974238876,bajo,alto
2025.0,CUAJIMALPA DE MORELOS,216,43.0,11.0,61,0,0.9259,0.9259,6.0,14.0,1.0,0.0,7.0,7.0,8.0,0.0,0.09693115055382397,-0.026215449209299763,0.06327935984849019,-0.3627996058260626,0.21703393826362485,0.0030972763248065197,1.0252480829198074,0.14495815224436734,0.30582137057523145,0.11703621446433123,0.0816091186601298,0.19907407407407407,0.05092592592592592,bajo,bajo
2025.0,CUAUHTEMOC,1790,612.0,111.0,114,0,0.5587,0.5587,25.0,110.0,58.0,2.0,127.0,163.0,127.0,0.0,-0.005569574171274645,-0.12102466607485256,-0.04082333715654069,-0.32807871614594863,0.03657496399275063,0.00010243517662572062,1.0141777897238191,0.12235525444644957,0.36276634791894563,0.015492578162799637,-0.16122029424129877,0.3418994413407821,0.06201117318435754,bajo,alto
2025.0,GUSTAVO A MADERO,1190,268.0,56.0,112,0,0.9244,0.9244,14.0,57.0,16.0,3.0,62.0,59.0,57.0,0.0,0.09036234841188213,-0.062388921540187825,0.020531425320406343,-0.38657641541323845,0.08172417555705079,0.0013227542483343025,0.9864080887005495,0.15502973318121996,0.3847282931798192,0.13208242002053186,-0.038702756616351926,0.22521008403361345,0.047058823529411764,bajo,alto
2025.0,IZTACALCO,637,131.0,32.0,89,0,0.157,0.157,11.0,23.0,9.0,2.0,29.0,27.0,30.0,0.0,0.11042522661280128,-0.0663316824828702,0.049691707455732044,-0.37493149154201927,0.09567115998414144,0.0023314498714601443,0.976737598864789,0.1971242359892277,0.4395374300119208,0.14671010880674148,0.010585847105796778,0.20565149136577707,0.05023547880690738,bajo,medio
2025.0,IZTAPALAPA,1718,415.0,61.0,119,0,1.397,1.397,26.0,67.0,26.0,15.0,147.0,61.0,73.0,0.0,0.1920898216176212,-0.00320926426400864,0.11791867156517592,-0.30407153418492633,0.2319315413502343,0.0009494702353333627,0.9875905224448424,0.24536366112826088,0.49370395058886946,0.23640293700972803,0.09479356086613194,0.24155995343422584,0.03550640279394645,bajo,alto
2025.0,LA MAGDALENA CONTRERAS,229,41.0,20.0,58,0,0.0,0.0,5.0,6.0,1.0,1.0,9.0,2.0,17.0,0.0,0.10308081236756317,-0.030908088668650417,0.057937841164773685,-0.4067555527445253,0.1946835929930216,2.3218444606856303e-05,0.9450257758682921,0.11195172331033369,0.38223089087121265,0.13005121396410338,0.06329708907960724,0.17903930131004367,0.08733624454148471,bajo,bajo
2025.0,MIGUEL HIDALGO,684,238.0,53.0,88,0,0.1462,0.1462,12.0,58.0,9.0,3.0,45.0,35.0,76.0,0.0,-0.10655789292877371,-0.14133924867702416,-0.10044186838251258,-0.4790075054527236,0.040686529336441964,0.0,0.9737089878352627,0.03184414352515892,0.28684835020706506,-0.11021187481556405,-0.22727944558677915,0.347953216374269,0.07748538011695906,bajo,alto
2025.0,MILPA ALTA,107,14.0,6.0,37,0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.30394033972790596,0.041275243756181114,0.21532667025883992,-0.16699674570355494,0.46446520532762126,0.0026112156956189874,1.0814029997848131,0.33500279143508527,0.6500347563715513,0.35688205207639373,0.19461961687900187,0.1308411214953271,0.056074766355140186,bajo,bajo
2025.0,TLAHUAC,410,70.0,14.0,71,0,1.7073,1.7073,8.0,10.0,2.0,0.0,28.0,7.0,15.0,0.0,0.17410553778804394,-0.02397220639468232,0.08792049492808791,-0.3595059754016799,0.26908967645617327,0.001534896132444792,0.9641575118243516,0.24477759636766735,0.45856991541230135,0.2255962825257832,0.0371172600975396,0.17073170731707318,0.03414634146341464,bajo,medio
2025.0,TLALPAN,790,201.0,46.0,92,0,0.3797,0.3797,22.0,44.0,12.0,3.0,33.0,22.0,65.0,0.0,0.09043928797397856,-0.033527624463036726,0.07284353770853241,-0.38605795060508613,0.3584896012376117,0.001176941776694202,0.9413920701655663,0.14826543103641363,0.4144007232531807,0.1009517642390082,0.057170053473321845,0.25443037974683547,0.05822784810126582,bajo,medio
2025.0,VENUSTIANO CARRANZA,733,156.0,34.0,98,0,0.2729,0.2729,6.0,32.0,7.0,1.0,40.0,45.0,25.0,0.0,0.11498630564207592,-0.04263823186929674,0.045451620582769546,-0.3019672296972801,0.08042436832510282,0.000745919757052908,1.0194145486304602,0.15625040189816564,0.3662790773672367,0.15652939205291697,0.017436279788949408,0.21282401091405184,0.04638472032742155,bajo,medio
2025.0,XOCHIMILCO,384,89.0,12.0,72,0,0.2604,0.2604,18.0,11.0,4.0,0.0,25.0,9.0,22.0,0.0,0.15868416964827722,-0.03019746257791654,0.10572573317112272,-0.29338877621394427,0.32962431995046765,0.0007852700824565955,0.9821493579926619,0.20510047698272396,0.47439674110194935,0.19032387418128402,0.08915201595149735,0.23177083333333334,0.03125,bajo,medio
