alcaldia_key,alcaldia_nombre,alcaldia_id,anio,tiempo_id,target_robos_patrimoniales_total,robo_a_transeunte,robo_a_negocio,robo_a_casa_habitacion,robo_de_vehiculo,robo_de_accesorios_auto,robo_del_interior_de_vehiculo,target_robos_log1p
ALVARO OBREGON,Alvaro Obregon,2,2016,201600,3837,1299,1055,358,570,222,333,8.252706676567644
AZCAPOTZALCO,Azcapotzalco,1,2016,201600,3736,960,1008,366,725,287,390,8.226038429485484
BENITO JUAREZ,Benito Juarez,3,2016,201600,5945,1558,1754,640,896,674,423,8.690474003558043
COYOACAN,Coyoacan,4,2016,201600,4604,1058,1332,473,933,342,466,8.434897948689407
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2016,201600,623,97,277,89,84,28,48,6.436150368369428
CUAUHTEMOC,Cuauhtemoc,6,2016,201600,8827,4127,2393,564,903,496,344,9.085683767376628
GUSTAVO A MADERO,Gustavo A Madero,7,2016,201600,6672,1943,1740,668,1718,351,252,8.805824812903607
IZTACALCO,Iztacalco,8,2016,201600,2426,919,386,276,506,181,158,7.794411205726601
IZTAPALAPA,Iztapalapa,9,2016,201600,9816,3466,2590,881,2146,342,391,9.191870855692521
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2016,201600,685,164,96,164,152,55,54,6.530877627725885
MIGUEL HIDALGO,Miguel Hidalgo,11,2016,201600,3422,985,945,350,618,171,353,8.138272638530186
MILPA ALTA,Milpa Alta,12,2016,201600,224,35,42,52,72,12,11,5.41610040220442
TLAHUAC,Tlahuac,13,2016,201600,1074,323,211,197,229,57,57,6.980075940561763
TLALPAN,Tlalpan,14,2016,201600,3516,647,1039,578,737,259,256,8.165363632473982
VENUSTIANO CARRANZA,Venustiano Carranza,15,2016,201600,3181,1190,723,331,525,245,167,8.065265208897733
XOCHIMILCO,Xochimilco,16,2016,201600,1958,608,333,307,495,75,140,7.580189417944541
ALVARO OBREGON,Alvaro Obregon,2,2017,201700,5127,1986,1097,373,624,326,721,8.542470998600505
AZCAPOTZALCO,Azcapotzalco,1,2017,201700,4904,1686,1113,300,770,401,634,8.498010371999463
BENITO JUAREZ,Benito Juarez,3,2017,201700,8787,2704,1883,724,714,1819,943,9.081142433504501
COYOACAN,Coyoacan,4,2017,201700,5428,1493,1246,558,868,552,711,8.599510233905452
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2017,201700,701,108,248,129,84,35,97,6.553933404025811
CUAUHTEMOC,Cuauhtemoc,6,2017,201700,12737,6854,2530,594,999,1081,679,9.45234493093131
GUSTAVO A MADERO,Gustavo A Madero,7,2017,201700,8195,2527,2042,702,1490,809,625,9.011401509358791
IZTACALCO,Iztacalco,8,2017,201700,3678,1669,514,303,492,305,395,8.210396255104774
IZTAPALAPA,Iztapalapa,9,2017,201700,11687,4461,2929,921,2246,428,702,9.366317953430535
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2017,201700,756,137,122,211,123,64,99,6.6293632534374485
MIGUEL HIDALGO,Miguel Hidalgo,11,2017,201700,6130,2478,1397,373,649,389,844,8.721113147762688
MILPA ALTA,Milpa Alta,12,2017,201700,260,57,33,78,76,6,10,5.564520407322694
TLAHUAC,Tlahuac,13,2017,201700,1388,508,285,180,290,52,73,7.236339342754344
TLALPAN,Tlalpan,14,2017,201700,3766,779,931,514,705,439,398,8.23403420769204
VENUSTIANO CARRANZA,Venustiano Carranza,15,2017,201700,3931,1499,1005,362,387,322,356,8.276903481267057
XOCHIMILCO,Xochimilco,16,2017,201700,2281,736,403,380,478,77,207,7.732807530422021
ALVARO OBREGON,Alvaro Obregon,2,2018,201800,6753,2864,1463,437,799,448,742,8.817890200945513
AZCAPOTZALCO,Azcapotzalco,1,2018,201800,5544,2081,1225,387,834,428,589,8.620651899784468
BENITO JUAREZ,Benito Juarez,3,2018,201800,10770,3116,2366,850,1330,2154,954,9.28461261635077
COYOACAN,Coyoacan,4,2018,201800,6531,1938,1433,639,980,687,854,8.784468454090355
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2018,201800,917,182,298,132,96,64,145,6.822197390620491
CUAUHTEMOC,Cuauhtemoc,6,2018,201800,16666,8931,3181,759,1242,1548,1005,9.721185995542177
GUSTAVO A MADERO,Gustavo A Madero,7,2018,201800,9984,3503,2132,791,1998,890,670,9.208839245849916
IZTACALCO,Iztacalco,8,2018,201800,4851,2558,568,324,611,329,461,8.48714627006394
IZTAPALAPA,Iztapalapa,9,2018,201800,15275,6796,3354,944,2633,665,883,9.634038248345407
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2018,201800,887,221,164,211,140,66,85,6.78897174299217
MIGUEL HIDALGO,Miguel Hidalgo,11,2018,201800,7773,3476,1729,422,728,513,905,8.958540111412168
MILPA ALTA,Milpa Alta,12,2018,201800,358,77,49,104,100,15,13,5.883322388488279
TLAHUAC,Tlahuac,13,2018,201800,1708,682,305,213,358,81,69,7.443663683115591
TLALPAN,Tlalpan,14,2018,201800,4829,1133,1033,613,920,556,574,8.482601746646619
VENUSTIANO CARRANZA,Venustiano Carranza,15,2018,201800,5227,2243,1138,368,625,428,425,8.561784074744113
XOCHIMILCO,Xochimilco,16,2018,201800,2591,933,465,400,508,104,181,7.860185057472165
ALVARO OBREGON,Alvaro Obregon,2,2019,201900,6455,2363,1526,547,832,466,721,8.772765209949785
AZCAPOTZALCO,Azcapotzalco,1,2019,201900,4074,1350,1117,323,670,359,255,8.312626025674962
BENITO JUAREZ,Benito Juarez,3,2019,201900,8338,2179,2124,582,935,1605,913,9.028698584086985
COYOACAN,Coyoacan,4,2019,201900,5422,1182,1453,504,932,650,701,8.59840444684106
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2019,201900,929,143,391,149,80,36,130,6.835184586147301
CUAUHTEMOC,Cuauhtemoc,6,2019,201900,12229,4985,3346,698,970,1436,794,9.411647228681218
GUSTAVO A MADERO,Gustavo A Madero,7,2019,201900,8680,2958,2222,686,1686,749,379,9.068892008391808
IZTACALCO,Iztacalco,8,2019,201900,3912,1902,585,258,583,400,184,8.272059622210412
IZTAPALAPA,Iztapalapa,9,2019,201900,13750,5562,3362,932,2307,820,767,9.528866827722945
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2019,201900,978,216,186,223,175,89,89,6.88653164253051
MIGUEL HIDALGO,Miguel Hidalgo,11,2019,201900,6642,2760,1648,411,630,462,731,8.80131894766524
MILPA ALTA,Milpa Alta,12,2019,201900,308,82,53,65,77,19,12,5.733341276897746
TLAHUAC,Tlahuac,13,2019,201900,1652,698,202,192,381,118,61,7.410347097821024
TLALPAN,Tlalpan,14,2019,201900,4686,915,1244,590,985,410,542,8.452547997922705
VENUSTIANO CARRANZA,Venustiano Carranza,15,2019,201900,4924,2264,1068,299,644,432,217,8.502079553606189
XOCHIMILCO,Xochimilco,16,2019,201900,2201,763,374,275,495,146,148,7.697121317282625
ALVARO OBREGON,Alvaro Obregon,2,2020,202000,4704,1605,1331,350,575,377,466,8.45638105201948
AZCAPOTZALCO,Azcapotzalco,1,2020,202000,3669,1310,1035,200,582,341,201,8.207946941048617
BENITO JUAREZ,Benito Juarez,3,2020,202000,5926,1240,1788,210,787,1424,477,8.687273461787838
COYOACAN,Coyoacan,4,2020,202000,4476,850,1354,324,742,578,628,8.406708458240965
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2020,202000,761,146,331,104,78,31,71,6.635946555686647
CUAUHTEMOC,Cuauhtemoc,6,2020,202000,8004,2407,2195,413,914,1546,529,8.987821625430815
GUSTAVO A MADERO,Gustavo A Madero,7,2020,202000,6345,1661,2047,490,1210,660,277,8.75557997214314
IZTACALCO,Iztacalco,8,2020,202000,2336,937,323,169,425,291,191,7.756623334538858
IZTAPALAPA,Iztapalapa,9,2020,202000,9815,3711,2385,639,1734,613,733,9.191768986390747
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2020,202000,748,193,117,101,162,82,93,6.618738983517219
MIGUEL HIDALGO,Miguel Hidalgo,11,2020,202000,4469,1517,1238,226,526,509,453,8.405143687607614
MILPA ALTA,Milpa Alta,12,2020,202000,253,64,20,54,80,15,20,5.537334267018537
TLAHUAC,Tlahuac,13,2020,202000,1250,515,199,122,301,56,57,7.1316985104669115
TLALPAN,Tlalpan,14,2020,202000,3663,632,1097,361,798,364,411,8.20631072579402
VENUSTIANO CARRANZA,Venustiano Carranza,15,2020,202000,3395,1267,806,200,458,457,207,8.130353547431238
XOCHIMILCO,Xochimilco,16,2020,202000,1629,451,249,202,492,86,149,7.396335293800808
ALVARO OBREGON,Alvaro Obregon,2,2021,202100,4092,1480,1032,251,411,383,535,8.317033476492403
AZCAPOTZALCO,Azcapotzalco,1,2021,202100,3568,1427,944,168,394,385,250,8.18004072349016
BENITO JUAREZ,Benito Juarez,3,2021,202100,5465,1380,1510,161,537,1300,577,8.606302366488013
COYOACAN,Coyoacan,4,2021,202100,4596,1156,1190,290,429,676,855,8.433159195806228
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2021,202100,758,157,282,58,69,63,129,6.63200177739563
CUAUHTEMOC,Cuauhtemoc,6,2021,202100,8231,2497,1793,360,1080,1850,651,9.015784277513886
GUSTAVO A MADERO,Gustavo A Madero,7,2021,202100,6115,1985,1624,392,961,730,423,8.718663567048953
IZTACALCO,Iztacalco,8,2021,202100,2344,1021,324,143,303,341,212,7.76004068088038
IZTAPALAPA,Iztapalapa,9,2021,202100,8804,3747,1836,646,1179,678,718,9.083075020930307
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2021,202100,733,203,95,125,112,97,101,6.598509028614515
MIGUEL HIDALGO,Miguel Hidalgo,11,2021,202100,4317,1598,945,172,510,582,510,8.370547611074752
MILPA ALTA,Milpa Alta,12,2021,202100,293,69,35,72,82,19,16,5.683579767338681
TLAHUAC,Tlahuac,13,2021,202100,1281,463,187,158,302,81,90,7.156176637480615
TLALPAN,Tlalpan,14,2021,202100,3552,888,849,335,503,378,599,8.175547596021026
VENUSTIANO CARRANZA,Venustiano Carranza,15,2021,202100,3549,1533,768,182,370,501,195,8.174702882469461
XOCHIMILCO,Xochimilco,16,2021,202100,1480,500,161,174,302,137,206,7.300472814267799
ALVARO OBREGON,Alvaro Obregon,2,2022,202200,3524,1299,893,188,260,317,567,8.16763571524637
AZCAPOTZALCO,Azcapotzalco,1,2022,202200,3073,1082,801,182,313,387,308,8.03073492409854
BENITO JUAREZ,Benito Juarez,3,2022,202200,5174,1184,1326,159,481,1306,718,8.55159461813357
COYOACAN,Coyoacan,4,2022,202200,4585,1191,1144,248,401,771,830,8.43076346341785
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2022,202200,677,120,237,67,73,49,131,6.519147287940395
CUAUHTEMOC,Cuauhtemoc,6,2022,202200,8927,2991,1830,255,798,2298,755,9.096947684621092
GUSTAVO A MADERO,Gustavo A Madero,7,2022,202200,5572,1674,1502,336,807,824,429,8.625688787569537
IZTACALCO,Iztacalco,8,2022,202200,2173,954,295,140,247,334,203,7.684324067681155
IZTAPALAPA,Iztapalapa,9,2022,202200,7601,3195,1541,590,909,706,660,8.936166649549195
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2022,202200,684,200,95,114,76,84,115,6.529418838262226
MIGUEL HIDALGO,Miguel Hidalgo,11,2022,202200,3843,1316,852,140,303,633,599,8.254268770090183
MILPA ALTA,Milpa Alta,12,2022,202200,223,74,26,58,41,15,9,5.4116460518550396
TLAHUAC,Tlahuac,13,2022,202200,1212,459,142,144,270,95,102,7.10085190894405
TLALPAN,Tlalpan,14,2022,202200,3522,895,799,289,417,370,752,8.167068178341237
VENUSTIANO CARRANZA,Venustiano Carranza,15,2022,202200,3402,1480,614,160,311,608,229,8.132412674500905
XOCHIMILCO,Xochimilco,16,2022,202200,1484,529,159,201,260,124,211,7.3031700512368
ALVARO OBREGON,Alvaro Obregon,2,2023,202300,3567,1156,1032,201,232,380,566,8.1797604936999
AZCAPOTZALCO,Azcapotzalco,1,2023,202300,2800,658,939,148,279,463,313,7.937731775260109
BENITO JUAREZ,Benito Juarez,3,2023,202300,5646,993,1386,159,466,1796,846,8.638879709672837
COYOACAN,Coyoacan,4,2023,202300,4563,992,1264,270,427,863,747,8.425954710981966
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2023,202300,688,102,275,63,25,99,124,6.535241271013659
CUAUHTEMOC,Cuauhtemoc,6,2023,202300,9625,2898,1926,337,673,2968,823,9.172223049863055
GUSTAVO A MADERO,Gustavo A Madero,7,2023,202300,5374,1347,1626,368,694,925,414,8.589513852995864
IZTACALCO,Iztacalco,8,2023,202300,2002,724,240,129,227,449,233,7.602401335665818
IZTAPALAPA,Iztapalapa,9,2023,202300,6698,2520,1433,533,816,817,579,8.809713540508268
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2023,202300,785,244,132,96,77,110,126,6.666956792429207
MIGUEL HIDALGO,Miguel Hidalgo,11,2023,202300,3964,1078,981,156,329,779,641,8.285261134068948
MILPA ALTA,Milpa Alta,12,2023,202300,227,48,22,82,46,13,16,5.429345628954441
TLAHUAC,Tlahuac,13,2023,202300,1169,387,204,161,245,97,75,7.064759027791802
TLALPAN,Tlalpan,14,2023,202300,3549,730,937,317,347,452,766,8.174702882469461
VENUSTIANO CARRANZA,Venustiano Carranza,15,2023,202300,3229,1251,517,196,301,738,226,8.080237416216702
XOCHIMILCO,Xochimilco,16,2023,202300,1264,371,182,203,192,102,214,7.142827401161621
ALVARO OBREGON,Alvaro Obregon,2,2024,202400,3045,1180,759,160,146,362,438,8.021584533455107
AZCAPOTZALCO,Azcapotzalco,1,2024,202400,2441,566,821,121,218,445,270,7.80057265467065
BENITO JUAREZ,Benito Juarez,3,2024,202400,5205,959,1231,171,406,1605,833,8.55756708555451
COYOACAN,Coyoacan,4,2024,202400,4241,953,1097,279,387,940,585,8.352790135124629
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2024,202400,758,114,295,73,25,150,101,6.63200177739563
CUAUHTEMOC,Cuauhtemoc,6,2024,202400,9016,2977,1729,333,672,2574,731,9.106866963499908
GUSTAVO A MADERO,Gustavo A Madero,7,2024,202400,4563,1109,1225,321,586,946,376,8.425954710981966
IZTACALCO,Iztacalco,8,2024,202400,1963,718,255,96,238,391,265,7.582738488914411
IZTAPALAPA,Iztapalapa,9,2024,202400,5612,2432,1084,429,680,535,452,8.6328406149422
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2024,202400,714,203,101,116,73,85,136,6.5722825426940075
MIGUEL HIDALGO,Miguel Hidalgo,11,2024,202400,3487,990,842,152,331,597,575,8.15708378502887
MILPA ALTA,Milpa Alta,12,2024,202400,198,66,12,53,44,15,8,5.293304824724492
TLAHUAC,Tlahuac,13,2024,202400,1020,425,167,139,148,73,68,6.928537818164665
TLALPAN,Tlalpan,14,2024,202400,3309,718,798,344,407,396,646,8.104703468371108
VENUSTIANO CARRANZA,Venustiano Carranza,15,2024,202400,2669,1019,427,145,227,665,186,7.8898337513942955
XOCHIMILCO,Xochimilco,16,2024,202400,1160,285,168,215,150,119,223,7.057036981697891
ALVARO OBREGON,Alvaro Obregon,2,2025,202500,229,81,62,7,11,45,23,5.438079308923196
AZCAPOTZALCO,Azcapotzalco,1,2025,202500,187,43,62,4,18,40,20,5.236441962829949
BENITO JUAREZ,Benito Juarez,3,2025,202500,327,54,69,14,19,109,62,5.793013608384144
COYOACAN,Coyoacan,4,2025,202500,321,72,80,10,21,101,37,5.7745515455444085
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2025,202500,43,8,14,6,1,7,7,3.784189633918261
CUAUHTEMOC,Cuauhtemoc,6,2025,202500,610,193,110,25,52,163,67,6.415096959171596
GUSTAVO A MADERO,Gustavo A Madero,7,2025,202500,265,83,57,14,30,59,22,5.583496308781699
IZTACALCO,Iztacalco,8,2025,202500,129,42,23,11,11,27,15,4.867534450455582
IZTAPALAPA,Iztapalapa,9,2025,202500,400,184,67,26,32,61,30,5.993961427306569
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2025,202500,40,10,6,5,10,2,7,3.713572066704308
MIGUEL HIDALGO,Miguel Hidalgo,11,2025,202500,235,62,58,12,18,35,50,5.4638318050256105
MILPA ALTA,Milpa Alta,12,2025,202500,14,5,0,4,3,2,0,2.70805020110221
TLAHUAC,Tlahuac,13,2025,202500,70,32,10,8,12,7,1,4.2626798770413155
TLALPAN,Tlalpan,14,2025,202500,198,47,44,22,17,22,46,5.293304824724492
VENUSTIANO CARRANZA,Venustiano Carranza,15,2025,202500,155,49,32,6,11,45,12,5.049856007249537
XOCHIMILCO,Xochimilco,16,2025,202500,89,29,11,18,5,9,17,4.499809670330265
